name,tags
Black Book,"Card Battler,Turn-Based Tactics,Card Game,Dungeon Crawler,Turn-Based,Roguelite,Female Protagonist,Roguelike,Strategy RPG,RPG,Mythology,Choices Matter,Strategy,Deckbuilding,3D,Story Rich,Open World,Dark Fantasy,Turn-Based Combat,Fantasy"
Smalland: Survive the Wilds,"Early Access,Survival,Multiplayer,Open World Survival Craft,Base Building,Online Co-Op,Open World,Crafting,Building,Singleplayer,Exploration,Co-op,Sandbox,Adventure,RPG,Action-Adventure,Character Customization,Third Person,First-Person,City Builder"
Zup! S,"Puzzle,Casual,Indie,2D,Physics,Relaxing,Singleplayer,Minimalist,Short,Fast-Paced,Cute,Trading Card Game,Strategy,Logic,Psychological Horror,Difficult,Action,Education,Horror,Beautiful"
Kingdom Two Crowns,"Base Building,Building,Tower Defense,Strategy,Medieval,City Builder,Action RTS,Stylized,Singleplayer,Minimalist,Fantasy,Dark Fantasy,Controller,Pixel Graphics,Local Multiplayer,Simulation,Survival,Colony Sim,Adventure,Co-op"
Book of Yog Idle RPG,"Sexual Content,Horror,Idler,Hack and Slash,Loot,Nudity,Free to Play,RPG,Action RPG,Dungeon Crawler,Early Access,Zombies,Singleplayer,Clicker,Multiplayer,Anime,Action,Simulation,Strategy,Casual"
Amnesia: The Bunker,"FPS,Horror,Survival Horror,Action,Survival,Immersive Sim,Violent,Difficult,Resource Management,Gore,Sandbox,Singleplayer,Puzzle,Realistic,Physics,Mystery,Adventure,World War I,First-Person,Inventory Management"
Phantom Brigade,"Strategy,Mechs,Turn-Based Tactics,Turn-Based,Turn-Based Strategy,Turn-Based Combat,Tactical,Military,Action,RPG,Moddable,Procedural Generation,Sci-fi,Space,Management,Robots,Singleplayer,Futuristic,Inventory Management,Indie"
Tropico 6,"Strategy,City Builder,Simulation,Economy,Management,Political Sim,Multiplayer,Sandbox,Politics,Building,Singleplayer,Political,Choices Matter,Funny,Co-op,Diplomacy,Destruction,Atmospheric,Story Rich,Top-Down"
Evil Dead: The Game,"Gore,Multiplayer,PvP,Horror,Third Person,Team-Based,Demons,Realistic,Co-op,Dark,Atmospheric,Dark Humor,Action,Mystery,Survival Horror,Thriller,Character Customization,Supernatural,Old School,America"
Onmyoji,"RPG,Free to Play,Anime,Strategy,Turn-Based,Adventure,Multiplayer,Fantasy,Early Access,PvP,Mythology"
Starsiege: Deadzone,"Early Access,Action,FPS,Multiplayer,PvP,Looter Shooter,Battle Royale,Sci-fi,Procedural Generation,Space,Survival,Shooter,Futuristic,Tactical,Crafting,First-Person,Stealth,Dark,PvE,Inventory Management"
APB Reloaded,"Free to Play,Open World,Multiplayer,Action,Character Customization,Massively Multiplayer,Shooter,Third-Person Shooter,PvP,Crime,Third Person,Co-op,Racing,Sandbox,FPS,Adventure,Singleplayer,Nudity,Hacking,Anime"
Labyrinthine,"Early Access,Horror,Online Co-Op,Co-op,Psychological Horror,Puzzle,Supernatural,First-Person,Procedural Generation,Multiplayer,PvE,Atmospheric,Co-op Campaign,Action-Adventure,Character Customization,Controller,Realistic,Team-Based,Action,Lovecraftian"
Transformice,"Free to Play,Multiplayer,Funny,Massively Multiplayer,2D,Platformer,Casual,Cute,Racing,Adventure,Online Co-Op,Indie,Survival,Strategy,Mouse only,Co-op,Family Friendly,Comedy,Puzzle,Action"
Teenage Mutant Ninja Turtles: Shredder's Revenge,"Beat 'em up,Multiplayer,Pixel Graphics,Side Scroller,Co-op Campaign,2D,Ninja,Action-Adventure,Indie,Martial Arts,Action,Colorful,Arcade,Cartoon,Family Friendly,Comic Book,Singleplayer,Adventure,Atmospheric,Comedy"
Getting Over It with Bennett Foddy,"Psychological Horror,Difficult,Singleplayer,Physics,Horror,Philosophical,Funny,Platformer,Indie,Survival Horror,Casual,Dark Humor,Replay Value,Adventure,Action,Comedy,Story Rich,Strategy,Great Soundtrack,Third Person"
Stronghold Crusader 2,"Strategy,Medieval,City Builder,RTS,Multiplayer,Simulation,Historical,Co-op,Building,Classic,Singleplayer,Resource Management,Atmospheric,Sandbox,Action,Tactical,Open World,Adventure,Survival,Indie"
OMORI,"Psychological Horror,Story Rich,Pixel Graphics,Indie,Great Soundtrack,RPG,Multiple Endings,Hand-drawn,RPGMaker,Horror,Colorful,2D,Turn-Based,Atmospheric,Party-Based RPG,Exploration,JRPG,Anime,Stylized,Fantasy"
Trine 3: The Artifacts of Power,"Puzzle Platformer,3D Platformer,Adventure,Co-op,Action,Fantasy,Controller,Puzzle,Local Co-Op,Platformer,Indie,Atmospheric,Multiplayer,Short,Physics,Local Multiplayer,3D Vision,Singleplayer,RPG,2.5D"
THE KING OF FIGHTERS XV,"2D Fighter,Action,Fighting,PvP,Multiplayer,3D,Singleplayer,Anime,Arcade,Competitive,Sexual Content,Great Soundtrack,2.5D,Local Multiplayer,Female Protagonist"
,
Border Officer,"Simulation,Action,Indie,Adventure,Automobile Sim,Open World,Singleplayer,Survival,Driving,Political,Early Access,Dystopian,Multiple Endings,Strategy,Multiplayer,Sexual Content"
Five Nights at Freddy's: Security Breach,"Horror,Survival Horror,Robots,Singleplayer,Stealth,Multiple Endings,First-Person,Exploration,3D,Action,Adventure,Indie,Artificial Intelligence,Story Rich,Thriller,Action-Adventure,Colorful,Family Friendly,Cartoony,Atmospheric"
Cosmoteer: Starship Architect & Commander,"Early Access,Space,Sandbox,Building,Strategy,Simulation,Open World,PvP,Co-op,Singleplayer,Online Co-Op,Base Building,Automation,Crafting,Multiplayer,Sci-fi,Space Sim,Resource Management,Real Time Tactics,Top-Down"
Uncrashed : FPV Drone Simulator,"Simulation,Sports,Flight,Physics,Racing,Singleplayer,Realistic,First-Person,6DOF,Immersive Sim,3D,Indie,Exploration,Science,Combat Racing"
Undisputed,"3D Fighter,3D,Third Person,Combat,Controller,Boxing,Fighting,Multiplayer,Sports,Realistic,Early Access,Singleplayer,Local Multiplayer,Action,eSports,Simulation,PvE,PvP,Character Customization,Immersive Sim"
Doomsday: Last Survivors,"Strategy,4X,Strategy RPG,Real Time Tactics,Wargame,Massively Multiplayer,2D,Zombies,Futuristic,Survival,Story Rich,RPG,Violent,Base Building,PvP,Co-op"
NEEDY STREAMER OVERLOAD,"Psychological Horror,Sexual Content,Anime,Visual Novel,Cute,Pixel Graphics,Multiple Endings,Point & Click,2D,Psychological,Choose Your Own Adventure,Psychedelic,Dark Humor,Colorful,Story Rich,Adventure,Singleplayer,Text-Based,Conversation,Hentai"
Dark Deception,"Horror,Free to Play,First-Person,Multiplayer,Singleplayer,Psychological Horror,Runner,Indie,Survival Horror,Action,Dark Humor,Adventure,Survival,Story Rich,Arcade,RPG,Multiple Endings,Cinematic,Difficult,Dark"
In Sound Mind,"Horror,Psychological Horror,Story Rich,Puzzle,Action,Atmospheric,Singleplayer,Indie,First-Person,Shooter,Action-Adventure,FPS,Platformer,Exploration,3D Platformer,Cats,Psychedelic,Music,Hidden Object,Puzzle Platformer"
X4: Foundations,"Sandbox,Space Sim,Economy,Trading,Building,Exploration,Space,Grand Strategy,Management,First-Person,Strategy,Simulation,Sci-fi,Singleplayer,Open World,Action,Flight,Atmospheric,Crafting,Survival"
Golf It!,"Multiplayer,Mini Golf,Golf,Casual,Sports,Funny,Early Access,Online Co-Op,Simulation,Singleplayer,Level Editor,Indie,Local Multiplayer,Sandbox,Co-op,Family Friendly,Memes,Difficult,VR,Strategy"
Big Ambitions,"Early Access,Management,Capitalism,Simulation,Economy,Life Sim,Sandbox,Time Management,Singleplayer,Immersive Sim,Inventory Management,3D,Third Person,Resource Management,Top-Down,RPG,Open World,Modern,Stylized,CRPG"
[Chilla's Art] Night Security | 夜間警備,"Horror,Psychological Horror,Immersive,Atmospheric,Adventure,Casual,Immersive Sim,3D,First-Person,Demons,Mystery,Supernatural,1990's,1980s,Realistic,Crime,Dark,Dark Fantasy,Walking Simulator,Detective"
The Stanley Parable: Ultra Deluxe,"Multiple Endings,Comedy,Choices Matter,Walking Simulator,First-Person,Narration,Singleplayer,Funny,Exploration,3D,Psychological Horror,Adventure,Story Rich,Casual,Emotional,Mystery,Dark Humor,Atmospheric,Horror,Game Development"
Rain World,"Difficult,Atmospheric,Survival,Platformer,Indie,Pixel Graphics,Exploration,2D,Adventure,Post-apocalyptic,Open World,Cute,2D Platformer,Survival Horror,Singleplayer,Metroidvania,Physics,Simulation,Action,Souls-like"
Victoria 3,"Grand Strategy,Economy,Strategy,Historical,Simulation,Management,Alternate History,Diplomacy,Political,Singleplayer,Real-Time with Pause,Politics,Multiplayer,Political Sim,Moddable,Sandbox,Resource Management,Military,Replay Value,Capitalism"
THE HOUSE OF THE DEAD: Remake,"Action,On-Rails Shooter,Shooter,First-Person,Horror,Zombies,3D,1990's,Arcade,Local Co-Op,Old School,Violent,Gore,Remake,Local Multiplayer,Combat,Singleplayer,Co-op,Multiple Endings"
Trine 2: Complete Story,"Puzzle Platformer,Platformer,Adventure,Action,Beautiful,2D Platformer,Puzzle,Co-op,Fantasy,Indie,Online Co-Op,Local Co-Op,Multiplayer,Physics,Great Soundtrack,Singleplayer,Atmospheric,2D,RPG,Casual"
Stronghold Legends: Steam Edition,"Real Time Tactics,City Builder,Colony Sim,Sandbox,Building,Economy,Management,Medieval,War,Military,Base Building,Real-Time,RTS,Strategy,Isometric,Historical,Open World,Simulation,Resource Management,Fantasy"
The Pathless,"Adventure,Archery,Exploration,Story Rich,Singleplayer,Female Protagonist,Music,Family Friendly,Atmospheric,3D Platformer,Action,Open World,Nature,Stylized,Fantasy,Action-Adventure,3D,Third Person,Soundtrack,Indie"
Pacify,"Horror,Multiplayer,Co-op,Survival Horror,Online Co-Op,Psychological Horror,Thriller,Action,Indie,Adventure,Dark,First-Person,Singleplayer,Gore,Strategy,Sexual Content,Puzzle,Casual,Atmospheric,PvP"
"Love, Money, Rock'n'Roll","Visual Novel,Anime,1980s,Atmospheric,Multiple Endings,Choices Matter,Story Rich,Romance,Detective,Drama,Cute,Choose Your Own Adventure,Investigation,Interactive Fiction,2D,Colorful,Dating Sim,Casual,Simulation,Comedy"
Yu-Gi-Oh! Duel Links,"Free to Play,Card Game,Anime,Strategy,Multiplayer,Trading Card Game,Singleplayer,Turn-Based,Competitive,Casual,RPG,Memes,Online Co-Op,Great Soundtrack,Action,Adventure,Simulation,Massively Multiplayer,Psychological Horror,MMORPG"
Zero Hour,"Tactical,Shooter,FPS,Realistic,Multiplayer,Action,First-Person,Online Co-Op,Military,PvP,Team-Based,Strategy,Immersive Sim,Simulation,Stealth,3D,Combat,PvE,Violent,Early Access"
Way of the Hunter,"Adventure,Shooter,Hunting,Exploration,FPS,Realistic,3D,First-Person,Colorful,Nature,Relaxing,America,Open World,Stealth,Controller,Gun Customization,Singleplayer,Multiplayer,Co-op,Online Co-Op"
Avorion,"Exploration,Sandbox,Building,Space Sim,Flight,Choose Your Own Adventure,PvE,Open World,3D,Third Person,Space,Sci-fi,Simulation,Economy,Voxel,Spaceships,Management,Trading,Vehicular Combat,Action RPG"
Doki Doki Literature Club Plus!,"Psychological Horror,Visual Novel,Anime,Dating Sim,Sexual Content,Cute,Romance,Story Rich,Multiple Endings,Gore,Singleplayer,2D,Interactive Fiction,Violent,Text-Based,Conversation,Dark Humor,Casual,Indie,Choose Your Own Adventure"
Journey,"Beautiful,Adventure,Atmospheric,Indie,Exploration,Great Soundtrack,Relaxing,Co-op,Walking Simulator,Casual,Multiplayer,Story Rich,Stylized,Family Friendly,Music,Classic,Mystery,Narrative,3D,Singleplayer"
Comedy Night,"Casual,Comedy,Experimental,Funny,Dark Humor,Dark Comedy,Immersive Sim,PvP,Cute,RPG,Life Sim,Character Customization,Third Person,Memes,Conversation,Atmospheric,Co-op,Simulation,Online Co-Op,Multiplayer"
The Book of Warriors,"Board Game,Strategy,Turn-Based Tactics,Roguelite,Roguelike,2D,Retro,Tactical,Atmospheric,Combat,Singleplayer,Turn-Based Combat,Choices Matter,Indie,Turn-Based Strategy,2D Platformer,RPG,Early Access,Adventure"
FOREWARNED,"Horror,Online Co-Op,Survival Horror,Co-op,Multiplayer,Psychological Horror,VR,PvE,Survival,Asymmetric VR,Action-Adventure,Atmospheric,Dark,PvP,Exploration,First-Person,Adventure,Action,3D,Early Access"
Wobbledogs,"Wholesome,Dog,Sandbox,Cute,Colorful,Simulation,Family Friendly,Life Sim,Funny,Physics,Casual,Experimental,Artificial Intelligence,3D,Singleplayer,Indie,Procedural Generation,Stylized,Great Soundtrack,Early Access"
Hotline Miami 2: Wrong Number,"Great Soundtrack,Gore,Pixel Graphics,Violent,Action,Fast-Paced,Difficult,Retro,Top-Down,1980s,Indie,Singleplayer,Atmospheric,Top-Down Shooter,Blood,2D,Shooter,Level Editor,Arcade,1990's"
Project Winter,"Funny,Co-op,Social Deduction,Multiplayer,Survival,Online Co-Op,Team-Based,Casual,Crafting,PvE,Action,Investigation,Indie,Controller,Character Customization,Stylized,PvP,Snow,Exploration,Strategy"
PC Building Simulator,"Simulation,Education,Immersive Sim,Building,Management,Sandbox,First-Person,3D,Life Sim,Casual,Realistic,Relaxing,Singleplayer,Funny,Hardware,Puzzle,Modern,Inventory Management,Atmospheric,Indie"
TRAHA Global,"Combat,MMORPG,RPG,Action,Co-op,PvP,PvE,Character Customization,Open World,Party-Based RPG,Action RPG,Action-Adventure,3D,Multiplayer,Online Co-Op,Third Person,Colorful,Cinematic,War,Lore-Rich"
No More Heroes 3,"Action,Hack and Slash,Comedy,Assassin,Beat 'em up,Anime,Funny,Aliens,Stylized,Violent,Motorbike,Gore,3D,Third Person,Cats,Singleplayer,Combat,Character Action Game,Great Soundtrack,Sexual Content"
Coromon,"Creature Collector,Turn-Based,Pixel Graphics,Collectathon,JRPG,RPG,2D,Character Customization,Turn-Based Combat,Difficult,Cute,Story Rich,Adventure,Colorful,Anime,Singleplayer,Retro,Indie,Strategy,Exploration"
Motorcycle Mechanic Simulator 2021,"Simulation,Racing,Indie,Motorbike,Casual,Management,Sandbox,Building,Driving,Bikes,First-Person,Singleplayer,Crafting,Education,Realistic,Economy,Destruction,Strategy,Memes,3D"
Muse Dash,"Music,Rhythm,Anime,Cute,Sexual Content,Female Protagonist,Casual,Great Soundtrack,Singleplayer,2D,Indie,Colorful,Action,Difficult,Hentai,Funny,Arcade,Nudity,Beautiful,Mature"
Gloomhaven,"Dark Fantasy,Turn-Based Combat,Card Game,Turn-Based Strategy,Unforgiving,Tactical RPG,Class-Based,Strategy,Difficult,Co-op Campaign,3D,Deckbuilding,RPG,Tactical,Turn-Based Tactics,Turn-Based,Singleplayer,Party-Based RPG,Dungeon Crawler,Board Game"
Inscryption,"Card Battler,Card Game,Story Rich,Horror,Deckbuilding,Dark,Puzzle,Roguelite,Strategy,Psychological,Roguelike,Surreal,Experimental,First-Person,Point & Click,3D,2D,FMV,Pixel Graphics,Adventure"
NARUTO TO BORUTO: SHINOBI STRIKER,"Anime,Action,Multiplayer,Character Customization,Fighting,Ninja,Co-op,Open World,PvP,RPG,Massively Multiplayer,Third Person,Adventure,Controller,Team-Based,Singleplayer,Online Co-Op,MMORPG,Strategy,MOBA"
Sea Dogs: To Each His Own - Pirate Open World RPG,"Pirates,Naval,RPG,Sandbox,Naval Combat,Sailing,Action RPG,Third Person,Character Customization,3D,Historical,Romance,Open World,Choices Matter,Action,Story Rich,Singleplayer,Multiple Endings,Replay Value,Adventure"
GROUND BRANCH,"Tactical,Realistic,Military,FPS,Shooter,Simulation,Multiplayer,Singleplayer,Action,Co-op,First-Person,Gun Customization,Indie,Early Access,Online Co-Op,War,Team-Based,Strategy,Atmospheric,Sandbox"
Dungeon Alchemist,"Software,Procedural Generation,Level Editor,Tabletop,Artificial Intelligence,Fantasy,Utilities,2.5D,3D,2D,RPG,Isometric,Top-Down,Atmospheric,Automation,Base Building,Moddable,Singleplayer,Dungeons & Dragons,Early Access"
DARK SOULS™ II,"Souls-like,RPG,Dark Fantasy,Difficult,Action RPG,Action,Unforgiving,Adventure,Exploration,Atmospheric,Co-op,Multiplayer,Fantasy,Epic,Immersive,PvP,Third Person,Replay Value,Open World,Dark"
The Bus,"Simulation,Driving,Automobile Sim,Multiplayer,Realistic,Relaxing,First-Person,Early Access,Moddable,Atmospheric,Singleplayer,Level Editor,Management,Economy,Open World,Time Management,Tutorial,VR,Transportation,Casual"
Melatonin,"Rhythm,Indie,Cute,Hand-drawn,Colorful,Action,2D,Singleplayer,Surreal,Puzzle,Music,Comedy,Arcade,Score Attack,Relaxing,Controller,Music-Based Procedural Generation,Great Soundtrack,Cozy,Psychological Horror"
War Mongrels,"Real Time Tactics,Stealth,Strategy,Co-op Campaign,Action,Atmospheric,Isometric,World War II,Tactical,Story Rich,Co-op,Online Co-Op,Historical,Realistic,Singleplayer,Dark,Top-Down,Twin Stick Shooter,Action RTS,Action-Adventure"
King Arthur: Knight's Tale,"Tactical RPG,Turn-Based Tactics,Dark Fantasy,RPG,Turn-Based Combat,Choices Matter,Grid-Based Movement,Singleplayer,Turn-Based,Strategy,PvE,Roguelite,Strategy RPG,Turn-Based Strategy,Medieval,Base Building,3D,CRPG,Isometric,Mythology"
Black Mesa,"FPS,Remake,Action,Sci-fi,First-Person,Singleplayer,Shooter,Classic,Atmospheric,Story Rich,Great Soundtrack,Aliens,Adventure,Zombies,Horror,Multiplayer,Indie,Early Access,Mod,Gore"
Hotline Miami,"Great Soundtrack,Violent,Action,Indie,Top-Down,Pixel Graphics,1980s,Fast-Paced,Gore,Retro,Psychedelic,Difficult,Singleplayer,Surreal,Shooter,2D,Top-Down Shooter,Atmospheric,Addictive,Music"
Ash of Gods: The Way,"Choices Matter,Choose Your Own Adventure,Turn-Based Strategy,Singleplayer,Hand-drawn,Deckbuilding,Card Battler,Dark Fantasy,2D,PvE,Puzzle,Turn-Based Tactics,Nonlinear,Card Game,Difficult,Combat,Strategy,Tactical RPG,Multiple Endings,Story Rich"
Tyranny,"RPG,Choices Matter,Story Rich,Isometric,CRPG,Dark Fantasy,Adventure,Singleplayer,Villain Protagonist,Fantasy,Real-Time with Pause,Character Customization,Atmospheric,Party-Based RPG,Open World,Great Soundtrack,Turn-Based,Strategy,Female Protagonist,Action"
Cats Hidden in Paris,"Cats,Hidden Object,Wholesome,Puzzle,Cozy,Cute,Relaxing,Casual,Cartoony,Hand-drawn,Minimalist,Collectathon,Creature Collector,Exploration,Singleplayer,Point & Click,Free to Play,Indie,Psychological Horror"
Untitled Goose Game,"Funny,Villain Protagonist,Multiplayer,Co-op,Comedy,Stealth,Indie,Puzzle,Cute,Singleplayer,Family Friendly,Local Co-Op,Physics,Colorful,Third Person,Adventure,Local Multiplayer,Sandbox,Action,Simulation"
TerraTech,"Building,Sandbox,Open World,Open World Survival Craft,Multiplayer,Robots,Crafting,Action,Survival,Adventure,Singleplayer,Exploration,Strategy,Early Access,Indie,Physics,Third Person,Shooter,Co-op,Sci-fi"
Action Taimanin,"Sexual Content,Nudity,Free to Play,Hentai,Mature,Female Protagonist,Anime,NSFW,3D,Action,Hack and Slash,RPG,Singleplayer,Action RPG,Fighting,Adventure,Third Person,Ninja,Visual Novel,FPS"
X-Plane 11,"Simulation,Flight,Realistic,Open World,Multiplayer,VR,Singleplayer,Physics,First-Person,Sandbox,Atmospheric,Adventure,Family Friendly,Third Person,Education,Action,Exploration,Beautiful,Massively Multiplayer,Controller"
Depth,"Action,Multiplayer,Underwater,Gore,Team-Based,Horror,Survival,PvP,Co-op,FPS,Shooter,Hunting,First-Person,Survival Horror,Atmospheric,Indie,Exploration,Simulation,Adventure,Singleplayer"
TRADER LIFE SIMULATOR 2,"Simulation,Realistic,Management,Life Sim,Economy,Inventory Management,Open World,Sandbox,Trading,Logic,Exploration,3D,Colorful,Cute,First-Person,Choose Your Own Adventure,Atmospheric,Cooking,Crafting,Survival"
Beyond: Two Souls,"Adventure,Choices Matter,Story Rich,Female Protagonist,Cinematic,Singleplayer,Emotional,Sci-fi,Dynamic Narration,Quick-Time Events,Third Person,Narration,Atmospheric,Horror,Thriller,Co-op,Great Soundtrack,Beautiful,Violent,Drama"
Gladiator Guild Manager,"Auto Battler,Strategy,Strategy RPG,Roguelite,Tactical,Roguelike,RPG,Indie,Turn-Based Strategy,Replay Value,Early Access,Tactical RPG,Management,Base Building,Resource Management,Pixel Graphics,Medieval,Turn-Based Tactics,Singleplayer,Trading"
Stronghold Kingdoms,"Strategy,Free to Play,Medieval,Massively Multiplayer,City Builder,Multiplayer,Real-Time,Building,War,RTS,Base Building,PvP,Sandbox,Simulation,Colony Sim,Grand Strategy,Idler,Real Time Tactics,Wargame,Isometric"
Fisher Online,"Fishing,Simulation,Massively Multiplayer,Early Access,Indie"
KARDS - The WW2 Card Game,"Free to Play,Card Game,World War II,Trading Card Game,Wargame,Board Game,Turn-Based Strategy,PvP,Strategy,Top-Down,Turn-Based Combat,Tanks,Deckbuilding,Historical,Casual,Realistic,Multiplayer,Military,War,Singleplayer"
Trainz Railroad Simulator 2022,"Simulation,Trains,Level Editor,Multiplayer,Sandbox,Driving,Open World,Realistic,Transportation,Building,Relaxing,Physics,Historical,Tutorial,Singleplayer,3D,Third Person,Moddable,Resource Management,Co-op"
MY HERO ONE'S JUSTICE,"Action,Anime,Fighting,Superhero,Multiplayer,Character Customization,Singleplayer,Local Multiplayer,Heist"
Cafe Owner Simulator,"Design & Illustration,Economy,Simulation,Resource Management,Building,Singleplayer,Life Sim,Management,Base Building,Sandbox,Cooking,First-Person,Family Friendly,Casual,Funny,Immersive Sim,Realistic,Relaxing,Logic,3D"
Feed and Grow: Fish,"Simulation,Underwater,Survival,Multiplayer,Early Access,Action,Open World,Indie,Singleplayer,Adventure,Colorful,Fishing,Funny,Co-op,Sandbox,Cute,Strategy,Realistic,Atmospheric,Great Soundtrack"
We Were Here Too,"Escape Room,Online Co-Op,Puzzle,Co-op,Horror,Action-Adventure,Investigation,Multiplayer,First-Person,Atmospheric,Adventure,Multiple Endings,Co-op Campaign,Psychological Horror,Mystery,Linear,Casual,Dark,Immersive,Indie"
Age of History II,"Strategy,Historical,War,Grand Strategy,Turn-Based Strategy,Turn-Based,Political Sim,Simulation,Sandbox,Singleplayer,World War II,Political,Diplomacy,Multiplayer,Politics,Alternate History,World War I,Indie,Casual,Open World"
,
Lobotomy Corporation | Monster Management Simulation,"Management,Difficult,Simulation,Story Rich,Horror,Psychological Horror,Gore,Indie,Great Soundtrack,Strategy,Singleplayer,2D,Cute,Lovecraftian,Anime,Atmospheric,RTS,Roguelike,Roguelite,Visual Novel"
Trine Enchanted Edition,"Puzzle Platformer,Beautiful,Fantasy,Platformer,Physics,Action,Local Co-Op,Adventure,Puzzle,Great Soundtrack,Indie,Co-op,Online Co-Op,Singleplayer,Multiplayer,Atmospheric,Casual,Local Multiplayer,2D,Female Protagonist"
Five Nights at Freddy's,"Horror,Singleplayer,Survival Horror,Robots,Psychological Horror,Difficult,Indie,First-Person,Point & Click,Dark,Survival,Atmospheric,Mouse only,Supernatural,Resource Management,Jump Scare,Silent Protagonist,Lore-Rich,Short,Historical"
Roto Force,"Boss Rush,Bullet Hell,Fast-Paced,Twin Stick Shooter,Difficult,Action,Shoot 'Em Up,Indie,Arcade,Controller,Shooter,Minimalist,2D,Arena Shooter,Pixel Graphics,Combat,Retro,Singleplayer,Cartoony,Experimental"
Day of Dragons,"Simulation,Dragons,Survival,Indie,Early Access,Multiplayer,RPG,Open World,Sandbox,Fantasy,Flight,Exploration,PvP,Immersive Sim,Survival Horror,3D,Tactical RPG,First-Person,Realistic,Third Person"
Pro Cycling Manager 2023,"Simulation,Sports,Multiplayer,Singleplayer,Management,Realistic,Strategy,Family Friendly,Racing,Competitive,Bikes,Cycling"
Cookie Clicker,"Clicker,Idler,Casual,Indie,Pixel Graphics,Management,Collectathon,Economy,Funny,Memes,Strategy,Building,2D,Resource Management,Comedy,Simulation,Colorful,Touch-Friendly,Horror,Singleplayer"
Farming Simulator 19,"Simulation,Farming Sim,Multiplayer,Agriculture,Realistic,Open World,Driving,Singleplayer,Management,Automobile Sim,Moddable,Co-op,Resource Management,Relaxing,First-Person,Online Co-Op,Economy,Family Friendly,Atmospheric,Strategy"
The Bookwalker: Thief of Tales,"Adventure,Singleplayer,Turn-Based Tactics,Atmospheric,Noir,Isometric,Story Rich,Lore-Rich,Dark Fantasy,Surreal,Mystery,Dystopian,First-Person,Thriller,Detective,Exploration,Narration,Point & Click,Drama,Puzzle"
Workers & Resources: Soviet Republic,"City Builder,Economy,Strategy,Simulation,Building,Management,Early Access,Political Sim,Trains,Indie,Cold War,Transportation,Politics,Historical,Political,Realistic,Singleplayer,Choices Matter,Resource Management,Multiple Endings"
Farthest Frontier,"Early Access,City Builder,Survival,Colony Sim,Strategy,Building,Military,Simulation,Singleplayer,Sandbox,Resource Management,Management,RTS,Realistic,Old School,Open World Survival Craft,Immersive Sim,3D,Alternate History,4X"
CARRION,"Villain Protagonist,Pixel Graphics,Gore,Action,Indie,Horror,Violent,Adventure,Metroidvania,2D,Singleplayer,Blood,Puzzle,Physics,Lovecraftian,Sci-fi,Platformer,Mature,Great Soundtrack,Atmospheric"
Crossout,"Free to Play,Atmospheric,PvE,Shooter,Vehicular Combat,Combat Racing,Co-op,Third-Person Shooter,Sandbox,Online Co-Op,Action,Combat,Multiplayer,Crafting,Racing,Building,Post-apocalyptic,PvP,Massively Multiplayer,Adventure"
Rampage Knights,"Co-op,Action Roguelike,Action,Beat 'em up,Roguelike,Indie,Multiplayer,Adventure,RPG,Local Co-Op,Online Co-Op,Roguelite,Dungeon Crawler,2D,Funny,Hack and Slash,Difficult,Side Scroller,Procedural Generation,Local Multiplayer"
Bomber Crew,"World War II,Simulation,Strategy,Management,Flight,Singleplayer,Indie,War,Difficult,Survival,Action,Casual,Military,3D,Roguelike,Cartoony,Perma Death,Roguelite,Cute,Atmospheric"
Xenonauts,"Turn-Based Strategy,Turn-Based Tactics,Turn-Based Combat,Base Building,Grand Strategy,Management,Singleplayer,Strategy,Tactical,Aliens,Sci-fi,Indie,Simulation,Isometric,Kickstarter,Cold War,Turn-Based,Remake,2D,Atmospheric"
Friends vs Friends,"Deckbuilding,First-Person,3D,Arena Shooter,Old School,PvP,Team-Based,Strategy,Platformer,Combat,FPS,Shooter,Multiplayer,Destruction,Action,Co-op,Online Co-Op,Indie,Retro,Voxel"
Victoria II,"Grand Strategy,Strategy,Historical,Political Sim,Politics,Economy,Simulation,Real-Time with Pause,Military,World War I,Sandbox,War,Singleplayer,RTS,Multiplayer,Alternate History,Management,Moddable,Diplomacy,Great Soundtrack"
Scoot,"Action,Sports,3D,Realistic,Family Friendly,Relaxing,Simulation,Physics,Early Access,Singleplayer,Indie"
Surgeon Simulator: Experience Reality,"Simulation,VR,Medical Sim,Indie,Gore,Violent,Action,Memes,Funny,Blood"
The Walking Dead: Saints & Sinners,"VR,Zombies,Action,Gore,Adventure,Horror,Shooter,Survival Horror,Violent,Survival,RPG,Singleplayer,Choices Matter,Indie,Simulation,Strategy,Open World,First-Person,FPS,Action RPG"
Outlast 2,"Horror,Psychological Horror,Survival Horror,First-Person,Gore,Singleplayer,Dark,Atmospheric,Violent,Survival,Mature,Action,Nudity,Adventure,Story Rich,Sexual Content,Multiplayer,Parkour,Indie,FPS"
Above Snakes,"Open World,Atmospheric,Open World Survival Craft,Sandbox,Building,Relaxing,Exploration,Crafting,Western,Female Protagonist,Isometric,RPG,Adventure,Stylized,Colorful,Base Building,Cozy,Singleplayer,Simulation,Survival"
Who's Your Daddy?!,"Funny,Multiplayer,First-Person,Comedy,Simulation,Online Co-Op,Strategy,Dark Humor,Co-op,Casual,Indie,Split Screen,Action,Early Access,Difficult,Survival,Third Person,Sandbox,Adventure,Singleplayer"
